id	name	price	old_price	qty	slug	cat	viscosity	brand
475	IDEMITSU Zepro Touring 5W-30 (синтетика) 4 л	4990.00	0.00	1	idemitsu-zepro-touring-5w-30-sintetika-4-l	301	5w30	Idemitsu
773	Масло Idemitsu 30011328746 5w30 4L	3990.00	0.00	1	maslo-idemitsu-30011328746-5w30-4l	301	5w30	Idemitsu
771	Масло Idemitsu 30015048746 5w40 4L	3990.00	0.00	1	maslo-idemitsu-30015048746-5w40-4l	301	5w40	Idemitsu
887	Масло Idemitsu 30021328746 0w20 4L	3990.00	0.00	1	maslo-idemitsu-30021328746-0w20-4l	301	0w20	Idemitsu
795	Масло моторное IDEMITSU 0W-30 ZEPRO TOURING PRO SN/GF5 4L	5490.00	0.00	1	maslo-motornoe-idemitsu-0w-30-zepro-touring-pro-sn-gf5-4l	301	0w30	Idemitsu
3189	Toyota CVT TC (Розлив )1L	1050.00	0.00	1	toyota-cvt-rozliv-1l	307	NULL	NULL
1636	Масло трансмиссионное TOYOTA ATF Type-T IV Розлив, 1L	890.00	0.00	1	maslo-transmissionnoe-toyota-atf-type-t-iv-yaponiya-rozliv-1l	307	NULL	NULL
521	Масло трансмиссионное TOYOTA ATF WS 4л арт. 08886 02305	5990.00	0.00	1	maslo-transmissionnoe-toyota-atf-ws-4l-art.-08886-02305-yaponiya	307	NULL	Toyota
1640	Масло трансмиссионное TOYOTA ATF WS Розлив, 1L	990.00	0.00	1	maslo-transmissionnoe-toyota-atf-ws-yaponiya-rozliv-1l	307	NULL	Toyota
643	Масло трансмиссионное Toyota CVT TC 4L	6190.00	0.00	1	maslo-toyota-cvt-0888602105-4l	307	NULL	Toyota
3716	Tyumen 6 мтс 9 Лидер болт 45а	1700.00	0.00	1	tyumen-6-mts-9-lider-bolt-45a	317	NULL	NULL
645	Аккумулятор TYUMEN PREMIUM 64 а/ч 620А (прямая и обратная ) 240x175x190мм	7100.00	0.00	1	akkumulyator-tyumen-premium-64ach-590a-r-obratnaya-apz-standart-242x175x190	317	NULL	NULL
659	Аккумулятор 75 Mutlu SFB (прямая и обратная)	11800.00	0.00	1	akkumulyator-75-mutlu-sfb-pryamaya-polyarnost	321	NULL	NULL
2126	KIA/Hyundai 26300 35504 Фильтр масляный	750.00	0.00	1	kia-hyundai-26300-35504-filtr-maslyanyy-ru	323	NULL	NULL
2128	Toyota 04152-YZZA4 Фильтр масляный	890.00	0.00	1	toyota-04152-yzza4-filtr-maslyanyy	323	NULL	NULL
1758	Фильтр масляный Renault 77 00 274 177	750.00	0.00	1	filtr-maslyanyy-renault-77-00-274-177-original-franciya	323	NULL	NULL
875	Фильтр масляный Toyota 04152-YZZA1 (Mann Hu7019z)	790.00	0.00	1	filtr-maslyanyy-toyota-04152-yzza1-mann-hu7019z	323	NULL	NULL
873	Фильтр масляный Toyota 04152-YZZA6 (Mann Hu6006z)	790.00	0.00	1	filtr-maslyanyy-toyota-04152-yzza6-mann-hu6006z	323	NULL	NULL
871	Фильтр масляный Toyota 90915-YZZE1 (Mann 68/3, VIC-110)	750.00	0.00	1	filtr-maslyanyy-toyota-90915-yzze1-mann-68-3-vic-110	323	NULL	NULL
869	Фильтр масляный Toyota 90915-YZZE2 (Mann 610/9, VIC-123)	800.00	0.00	1	filtr-maslyanyy-toyota-90915-yzze2-mann-610-9-vic-123	323	NULL	NULL
877	Фильтр масляный Toyota 90915-YZZJ3 (Mann 712/83, C-111)	790.00	0.00	1	filtr-maslyanyy-toyota-90915-yzzj3-mann-712-83-c-111	323	NULL	NULL
899	Фильтр масляный Volkswagen VAG 03C 115 561 H (Mann w712/94)	1200.00	0.00	1	filtr-maslyanyy-hyundai-26300-35504-mann-w811-80	323	NULL	NULL
3316	MOLYGREEN CLEAN DIESEL 5W30 DL-1 4Л	4990.00	0.00	1	molygreen-clean-diesel-5w30-dl-1-4l	335	5w30	NULL
3058	MOLYGREEN HYBRID 0W20 SN/GF-5, 4л	5690.00	0.00	0	molygreen-hybrid-0w20-sn-gf-5-4l	335	0w20	NULL
3073	MOLYGREEN PREMIUM  5w30 GF-6A  (Розлив)	900.00	0.00	1	molygreen-premium-5w30-gf-6a-rozliv	335	5w30	NULL
855	MOLYGREEN PREMIUM  SP/GF-6A 5W-30 4L	4990.00	0.00	1	molygreen-premium-black-sn-gf-5-5w-30-4l	335	5w30	Molygreen
3193	MOLYGREEN PREMIUM SP/GF-6A 0W-20 4L	4990.00	0.00	1	molygreen-premium-sp-gf-6a-0w-20-4l	335	0w20	NULL
3444	MolyGreen Pro S 0W-20 (Розлив) 1л.	900.00	0.00	1	molygreen-pro-s-0w-20-rozliv-1l.	335	0w20	NULL
3323	MolyGreen Pro S 5W-30 (Розлив) 1л.	950.00	0.00	1	molygreen-pro-s-5w-30-rozliv-1l.	335	5w30	NULL
3590	MOLYGREEN SELECTION 10w40 4L	4590.00	0.00	1	molygreen-selection-10w40-4l	335	10w40	NULL
859	MOLYGREEN SELECTION SN/CF 5W40	4590.00	0.00	1	molygreen-selection-sn-cf-5w40	335	5w40	Molygreen
857	MOLYGREEN SELECTION SN/GF-5 0W-20 4L	4590.00	0.00	1	molygreen-selection-sn-gf-5-0w-20-4l	335	0w20	Molygreen
861	MOLYGREEN SELECTION SN/GF-5 5W30 4L	4590.00	0.00	1	molygreen-selection-sn-gf-5-5w30-4l	335	5w30	Molygreen
3074	ENI I-Sint 5w40 (Розлив)	900.00	0.00	1	eni-i-sint-5w40-rozliv	337	5w40	NULL
3426	ENI I-Sint TD DIESEL 5w40 4L	3200.00	0.00	1	eni-i-sint-td-diesel-5w40-4l	337	5w40	NULL
913	Масло моторное Rosneft Magnum Maxtec 10W-40 п/синтетика 4L	1500.00	0.00	1	maslo-motornoe-rosneft-magnum-maxtec-10w-40-p-sintetika-4l	479	10w40	Роснефть
915	Масло моторное Rosneft Magnum Maxtec 5W-40 п/синтетика 4L	1700.00	0.00	1	maslo-motornoe-rosneft-magnum-maxtec-5w-40-p-sintetika-4l	479	5w40	Роснефть
903	Масло моторное Rosneft Magnum Ultratec 5W-40 синтетика 4L	2500.00	0.00	1	maslo-motornoe-rosneft-magnum-ultratec-5w-40-sintetika-4l	479	5w40	Роснефть
909	Масло моторное Rosneft Maximum 10W-40 п/синтетика 4L	1350.00	0.00	1	maslo-motornoe-rosneft-maximum-10w-40-p-sintetika-4l	479	10w40	Роснефть
3768	Xtreme 12V 9Ah VRLA	2100.00	0.00	1	xtreme-12v-9ah-vrla	493	NULL	NULL
1884	Масло моторное Ravenol FO 5w30 4L	4790.00	0.00	1	maslo-motornoe-ravenol-fo-5w30-4l	518	5w30	NULL
3374	Osram H4	300.00	0.00	1	osram-h4	526	NULL	NULL
3378	Osram H7	350.00	0.00	1	osram-h7	526	NULL	NULL
3204	Liqui Moly 5w30 Asia&America 1л (Розлив)	950.00	0.00	1	liquimoly-5w30-asia-and-america-1l-rozliv	528	5w30	NULL
344	LIQUI MOLY 5W30 Leichtlauf high tech LL (синтетика), 4л.	4490.00	0.00	1	liqui-moly-5w30-leichtlauf-high-tech-ll-sintetika-4l.	528	5w30	Liqui Moly
342	LIQUI MOLY 5W30 Optimal, (синтетика) 4л.	4490.00	0.00	1	liqui-moly-5w30-optimal-sintetika-4l.	528	5w30	Liqui Moly
3205	Liqui Moly 5w40 Optimal 1л (Розлив)	850.00	0.00	1	liquimoly-5w40-optimal-1l-rozliv	528	5w40	NULL
306	LIQUI MOLY 5W40 Optimal, (синтетика) 4л.	4490.00	0.00	1	liqui-moly-5w40-optimal-sintetika-4l.	528	5w40	Liqui Moly
3362	Liqui Moly Leichtlauf Longtime 0W-30 4л	4190.00	0.00	1	liqui-moly-leichtlauf-longtime-0w-30-4l	528	0w30	NULL
397	LIQUI MOLY Molygen New Generation 5W-30 4 л	5290.00	0.00	1	liqui-moly-molygen-new-generation-5w-30-4-l	528	5w30	Liqui Moly
459	LIQUI MOLY Molygen New Generation 5W-30 5 л	6390.00	0.00	1	liqui-moly-molygen-new-generation-5w-30-5-l	528	5w30	Liqui Moly
613	LIQUI MOLY Molygen New Generation 5W-40 4 л	5290.00	0.00	1	liqui-moly-molygen-new-generation-5w-40-4-l	528	5w40	Liqui Moly
3067	LIQUI MOLY Molygen New Generation 5W-40 5 л	6190.00	0.00	1	liqui-moly-molygen-new-generation-5w-40-5-l	528	5w40	NULL
531	LIQUI MOLY Special Tec AA 0W-20 (синтетика) 4 л	5790.00	0.00	1	liqui-moly-special-tec-aa-0w-20-sintetika-4-l	528	0w20	Liqui Moly
3278	LIQUI MOLY Special Tec AA 5W-20 (синтетика) 4 л	4990.00	0.00	1	liqui-moly-special-tec-aa-5w-20-sintetika-4-l	528	5w20	NULL
393	LIQUI MOLY Special Tec AA 5W-30 (синтетика) 4 л	5490.00	0.00	1	liqui-moly-special-tec-aa-5w-30-sintetika-4-l	528	5w30	Liqui Moly
3361	Liqui Moly Special Tec LL 5W-30 4л	5490.00	0.00	1	liqui-moly-special-tec-ll-5w-30-4l	528	5w30	NULL
463	LIQUI MOLY Synthoil High Tech 5W-30 (синтетика) 4 л	5990.00	0.00	1	liqui-moly-synthoil-high-tech-5w-30-sintetika-4-l	528	5w30	NULL
391	LIQUI MOLY Synthoil High Tech 5W-40 (синтетика) 4 л	5990.00	0.00	1	liqui-moly-synthoil-high-tech-5w-40-sintetika-4-l	528	5w40	Liqui Moly
529	LIQUI MOLY Synthoil High Tech 5W-50 (синтетика) 4 л	5990.00	0.00	1	liqui-moly-synthoil-high-tech-5w-50-sintetika-4-l	528	5w50	Liqui Moly
513	LIQUI MOLY Synthoil Longtime 0W-30 5 л	5490.00	0.00	1	liqui-moly-synthoil-longtime-0w-30-5-l	528	0w30	NULL
1728	LIQUI MOLY Top Tec 4100 5W-40 (синтетика) 4 л	5490.00	0.00	1	liqui-moly-top-tec-4100-5w-40-sintetika-4-l	528	5w40	Liqui Moly
1756	LIQUI MOLY Top Tec 4200 5W-30 (синтетика) 4 л	5990.00	0.00	1	liqui-moly-top-tec-4200-5w-30-sintetika-4-l	528	5w30	Liqui Moly
3284	LIQUI MOLY TOP TEC 4400 5W-30 5 л	5490.00	0.00	1	liqui-moly-top-tec-4400-5w-30-5-l	528	5w30	NULL
3281	Liqui Moly TOP TEC 6300 0W-20 5L	6500.00	0.00	1	liqui-moly-top-tec-6300-0w-20-5l	528	0w20	NULL
3310	Bardahl XTC 5w30 5l	6900.00	0.00	1	bardahl-xtc-5w30-5l	671	5w30	NULL
3948	Bardahl XTC 5w40 1l (Розлив)	1200.00	0.00	1	bardahl-xtc-5w40-1l-rozliv	671	5w40	NULL
3308	Bardahl XTC 5w40 4l	5200.00	0.00	1	bardahl-xtc-5w40-4l	671	5w40	NULL
3245	Bardahl XTC 5w40 5l	5800.00	0.00	1	bardahl-xtc-5w40-5l	671	5w40	NULL
3246	Bardahl XTRA 5w30 5l	6490.00	0.00	1	bardahl-xtra-5w30-5l	671	5w30	NULL
3874	Bardahl XTS 5w30 5l	6700.00	0.00	1	bardahl-xts-5w30-5l	671	NULL	NULL
3449	Bardahl XTS 5w40 5l	6200.00	0.00	1	bardahl-xts-5w40-5l	671	NULL	NULL
3269	TCL Zero Line SP GF-6 0W30 4L	3990.00	0.00	1	tcl-zero-line-sp-gf-6a-0w30-4l	672	0w30	NULL
3293	TCL Zero Line SP GF-6 5W30 4L	3990.00	0.00	1	tcl-zero-line-sp-gf-6a-5w30-4l	672	5w30	NULL
3272	PROFIX 5w30 GF-6A 4L	3590.00	0.00	1	profix-5w30-gf-6a-4l	674	5w30	NULL
3370	Total Ineo MDC 5w30 5L	4990.00	0.00	1	total-ineo-mdc-5w30-5l	675	5w30	NULL
3144	TOTAL NFC 5W-30 (синтетика) (Розлив)	750.00	0.00	1	total-nfc-5w-30-sintetika-rozliv	675	5w30	NULL
3079	TOTAL Quartz 9000  5W-40 (синтетика) (Розлив)	650.00	0.00	1	total-quartz-9000-5w-40-sintetika-rozliv	675	5w40	NULL
491	TOTAL Quartz 9000 5W40 (синтетика) 4 л	3790.00	0.00	1	total-quartz-9000-5w40-sintetika-4-l	675	5w40	Elf/Total
3078	TOTAL Quartz 9000 Energy HKS 5W-30 (синтетика) (Розлив)	1190.00	0.00	1	total-quartz-9000-energy-hks-5w-30-sintetika-rozliv	675	5w30	NULL
493	TOTAL Quartz 9000 NFC 5W-30 (синтетика) 4 л	3990.00	0.00	1	total-quartz-9000-future-nfc-5w-30-sintetika-4-l	675	5w30	Elf/Total
615	TOTAL Quartz ineo ECS 5W-30 (синтетика) 4 л	3790.00	0.00	1	total-quartz-ineo-ecs-5w-30-sintetika-4-l	675	5w30	Elf/Total
563	ELF Evolution 700 STI 10W-40 (синтетика) 4 л	2490.00	0.00	1	elf-evolution-700-sti-10w-40-sintetika-4-l	676	10w40	Elf/Total
487	ELF Evolution 900 NF 5W-40 (синтетика) 4 л	4290.00	0.00	1	elf-evolution-900-nf-5w-40-sintetika-4-l	676	5w40	Elf/Total
3080	ELF Evolution 900 SXR 5W-30 (синтетика) (Розлив)	750.00	0.00	1	elf-evolution-900-sxr-5w-30-sintetika-rozliv	676	5w30	NULL
1860	ELF Evolution 900 SXR 5W-30 (синтетика) 4 л	4390.00	0.00	1	elf-evolution-900-sxr-5w-30-sintetika-4-l	676	5w30	Elf/Total
3081	ELF Evolution 900 SXR 5W-40 (синтетика) (Розлив)	750.00	0.00	1	elf-evolution-900-sxr-5w-40-sintetika-rozliv	676	5w40	NULL
2232	Elf NF 5w40 1l (розлив)	650.00	0.00	1	elf-nf-5w40-1l-rozliv	676	5w40	NULL
